itemnum,itemnamee,qty,unitnamee,Area,storloc1,storloc2,storloc3,storloc4,storloc5,storloc6,storloc7,storloc8,storloc9,storloc10,storloc11,storloc12,storloc13,storloc14,storloc15
1,1,-3.0,EA,,A01A1,G08D1,K01A1,M01C1,,,,,,,,,,,
1,1,0.0,EA,MCU,A01A1,G08D1,K01A1,M01C1,,,,,,,,,,,
1,1,0.0,EA,OIL TRAIN 1&2,A01A1,G08D1,K01A1,M01C1,,,,,,,,,,,
1,1,0.0,EA,RU,A01A1,G08D1,K01A1,M01C1,,,,,,,,,,,
1000002548,SWITCH  PUSHBUTTON  ROUND  RED BUTTON,2.0,EA,PCU,A16E6B,,,,,,,,,,,,,,
1000005696,KIT  MOTOR STARTER  CONTACT  PARTS ,1.0,EA,UTILITIES,A07B3B,,,,,,,,,,,,,,
1000006512,ELBOW  PIPE  BUTT WELD  1 IN  CS  90,2.0,EA,,A18A1C,,,,,,,,,,,,,,
1000011433,PLUG  STRAIGHT BLADE ,72.0,EA,,A18C3B,A18C4B,,,,,,,,,,,,,
1000014156,PLUG  PIPE  1 IN  CLASS 300  ROUND,7.0,EA,,A18D6B,,,,,,,,,,,,,,
1000015307,UNION  PIPE  1/8 IN  FEMALE NPT  SS ,10.0,EA,UTILITIES,F08B2,,,,,,,,,,,,,,
1000018140,RELAY  CONTROL  GENERAL PURPOSE,3.0,EA,PCU,A16D1B,,,,,,,,,,,,,,
1000018658,REDUCER  PIPE  BUTT-WELD  30 IN X 24,0.0,EA,I-FIELD,21H08D2,,,,,,,,,,,,,,
1000020189,ELBOW  BUTT-WELDING 3  90 DEG LR,6.0,EA,,C01A2,,,,,,,,,,,,,,
1000020776,PLUG  HEADER  A-193 GRB7M  1-1/8 IN,7.0,EA,"OIL TRAIN 3, 4 & 5",L07B2,,,,,,,,,,,,,,
1000022954,BLIND  PIPE ,4.0,EA,,A18C5B,,,,,,,,,,,,,,
1000023059,BLIND  PIPE ,3.0,EA,,A18C5B,A18E2B,,,,,,,,,,,,,
1000023218,BLIND  PIPE  CL 600  RF FLANGE  3 IN,4.0,EA,,A17E4B,,,,,,,,,,,,,,
1000032130,TEE  SOCKET WELDING ,6.0,EA,,A18D3B,,,,,,,,,,,,,,
1000032434,TEE  THREADED ,2.0,EA,,A18C3B,,,,,,,,,,,,,,
1000037803,NIPPLE  PIPE ,50.0,EA,,A18F1B,,,,,,,,,,,,,,
1000039057,CIRCUIT BREAKER  MOLDED CASE  400 A ,2.0,EA,,B01B2,,,,,,,,,,,,,,
1000040156,UNION  WING NUT ,5.0,EA,,A18B2B,,,,,,,,,,,,,,
1000043528,ADAPTER  TUBING TO PIPE  1/2 IN  1/2,10.0,EA,"OIL TRAIN 3, 4 & 5",L08A2,,,,,,,,,,,,,,
1000045641,COUPLING PIPE  MECHANICAL TERMINAL 3/4 I,10.0,EA,UTILITIES,A07C5B,,,,,,,,,,,,,,
1000046512,CONNECTOR  FEMALE  COMPRESSION TUBE ,10.0,EA,"OIL TRAIN 3, 4 & 5",L08A2,,,,,,,,,,,,,,
1000046534,ADAPTER TUBING TO PIPE  3/4 IN OD,10.0,EA,"OIL TRAIN 3, 4 & 5",L08A2,,,,,,,,,,,,,,
1000046627,ADAPTER  TUBING TO PIPE  1/2 IN OD    T,10.0,EA,"OIL TRAIN 3, 4 & 5",L01B2,,,,,,,,,,,,,,
1000046629,ADAPTER  TUBING TO PIPE  1/2 IN OD,10.0,EA,"OIL TRAIN 3, 4 & 5",L08A2,,,,,,,,,,,,,,
